split,model,seed,accuracy,precision,recall,f1,positive_rate_pred,positive_rate_true,n_samples,threshold,coverage,auc
val,RF,0,0.8382958504909724,0.9683221476510067,0.7997782705099779,0.8760170006071646,0.5899588216661388,0.7142857142857143,12628,0.4,1.0,0.8625023813796391
val,RF,1,0.8367120684193855,0.9600634752710923,0.8048780487804879,0.875648293330117,0.5988280012670256,0.7142857142857143,12628,0.38,1.0,0.8616925125736845
val,RF,2,0.8368704466265442,0.9605611434621493,0.8046563192904657,0.8757239382239382,0.5983528666455495,0.7142857142857143,12628,0.38,1.0,0.863098940024877
val,RF,3,0.8364745011086474,0.9593184519878484,0.805210643015521,0.8755349285757338,0.5995407031992398,0.7142857142857143,12628,0.38,1.0,0.8636003049395038
val,RF,4,0.8362369337979094,0.9534307331072267,0.810310421286031,0.8760637660314036,0.6070636680392778,0.7142857142857143,12628,0.36000000000000004,1.0,0.8630434001061942
val,RF,5,0.835920177383592,0.9522259828169748,0.8109756097560976,0.875943000838223,0.6083306936965474,0.7142857142857143,12628,0.36000000000000004,1.0,0.8635044044768707
val,RF,6,0.8352074754513779,0.9521699465658804,0.8099778270509977,0.8753369675912059,0.6076179917643332,0.7142857142857143,12628,0.36000000000000004,1.0,0.8625480577774938
val,RF,7,0.8365536902122268,0.9599312351229833,0.8047671840354768,0.875527680617537,0.5988280012670256,0.7142857142857143,12628,0.38,1.0,0.8617406164423971
val,RF,8,0.8360785555907507,0.9530638852672751,0.8104212860310421,0.8759736369083283,0.6073804244535952,0.7142857142857143,12628,0.36000000000000004,1.0,0.8630659694396783
val,RF,9,0.8353658536585366,0.9580308829351987,0.8047671840354768,0.874736398144243,0.6000158378207159,0.7142857142857143,12628,0.38,1.0,0.8626538063972153
val,XGB,0,0.8485112448527082,0.9679968391939945,0.8148558758314856,0.8848492144705953,0.6012828634779854,0.7142857142857143,12628,0.32,1.0,0.9018953477367369
val,XGB,1,0.8486696230598669,0.9676358373898172,0.815410199556541,0.8850249684134529,0.6019163763066202,0.7142857142857143,12628,0.32,1.0,0.900934484097915
val,XGB,2,0.8469274627811213,0.9637482004973171,0.8164079822616408,0.883980553388152,0.6050839404497941,0.7142857142857143,12628,0.31,1.0,0.902507992217344
val,XGB,3,0.8478777320240735,0.9571152607855763,0.8239467849223947,0.8855525767053917,0.6149033892936332,0.7142857142857143,12628,0.29000000000000004,1.0,0.9029065122590352
val,XGB,4,0.8466898954703833,0.9664208585725573,0.8136363636363636,0.8834717707957145,0.6013620525815648,0.7142857142857143,12628,0.32,1.0,0.9016100123647377
val,XGB,5,0.846848273677542,0.9650826988710948,0.8150776053215077,0.8837600673157832,0.6032625910674692,0.7142857142857143,12628,0.32,1.0,0.9021227464466743
val,XGB,6,0.84708584098828,0.9614633511261554,0.8187361419068736,0.8843781809472486,0.6082515045929681,0.7142857142857143,12628,0.31,1.0,0.9016447651437309
val,XGB,7,0.8462939499524865,0.9586626927562524,0.8201773835920178,0.8840293959490948,0.6111023123218245,0.7142857142857143,12628,0.3,1.0,0.901829191473985
val,XGB,8,0.8482736775419703,0.9695928080380751,0.8130820399113082,0.8844669561022672,0.5989863794741843,0.7142857142857143,12628,0.33,1.0,0.9027081510169566
val,XGB,9,0.8479569211276529,0.9640522875816994,0.8176274944567627,0.8848230353929214,0.6057966423820083,0.7142857142857143,12628,0.31,1.0,0.9014358182850626
val,TCN,0,0.8301393728222997,0.8964363971860224,0.8617516629711751,0.8787519077497032,0.686648717136522,0.7142857142857143,12628,0.01,1.0,0.9003438251286867
val,TCN,1,0.8610231232182451,0.9697400750032329,0.8313747228381375,0.895242643108697,0.6123693379790941,0.7142857142857143,12628,0.38,1.0,0.8972964581049258
val,TCN,2,0.8636363636363636,0.9226314570303451,0.8831485587583149,0.9024583663758922,0.6837187203040862,0.7142857142857143,12628,0.01,1.0,0.9384448238946711
val,TCN,3,0.8659328476401648,0.9540215640104102,0.8534368070953436,0.9009304230791737,0.6389768767817549,0.7142857142857143,12628,0.02,1.0,0.9308685029817946
val,TCN,4,0.8519955654101996,0.9359834166565053,0.8509977827050997,0.8914697172057372,0.6494298384542287,0.7142857142857143,12628,0.02,1.0,0.9229965529913815
val,TCN,5,0.8753563509661071,0.938309394866965,0.8835920177383592,0.9101290396254424,0.6726322458029775,0.7142857142857143,12628,0.23,1.0,0.9269517480248376
val,TCN,6,0.8601520430788724,0.9819293117193728,0.8192904656319291,0.8932672549256618,0.5959771935381691,0.7142857142857143,12628,0.46,1.0,0.8971861925457594
val,TCN,7,0.8656952803294267,0.972516129032258,0.8355875831485587,0.8988670244484198,0.6137155527399429,0.7142857142857143,12628,0.04,1.0,0.9280760511256092
val,TCN,8,0.8586474501108647,0.9770539364367664,0.8213968957871397,0.892489309160995,0.600490972442192,0.7142857142857143,12628,0.27,1.0,0.8877738740222516
val,TCN,9,0.8667247386759582,0.9420412097843114,0.866740576496674,0.9028234886540794,0.6571903706050047,0.7142857142857143,12628,0.01,1.0,0.9354422421718673
